block_number,log_count,skipped_by_bloom,ERC20_Transfer_bloom,ERC20_Transfer_actual,ERC20_Approval_bloom,ERC20_Approval_actual,UniV2_Swap_bloom,UniV2_Swap_actual,UniV3_Swap_bloom,UniV3_Swap_actual,UniV2_Sync_bloom,UniV2_Sync_actual,WETH_Deposit_bloom,WETH_Deposit_actual,WETH_Withdrawal_bloom,WETH_Withdrawal_actual,Synthetic_Absent_bloom,Synthetic_Absent_actual
25036459,695,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036460,593,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036461,876,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036462,642,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036463,414,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036464,680,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036465,924,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036466,740,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036467,653,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036468,928,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036469,665,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036470,1497,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036471,508,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036472,1305,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036473,545,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036474,423,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036475,828,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036476,950,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036477,484,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036478,294,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036479,1273,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036480,1401,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036481,619,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036482,1016,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036483,94,false,true,true,true,true,false,false,true,true,false,false,true,true,true,true,false,false
25036484,1521,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036485,643,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036486,415,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036487,948,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036488,264,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036489,665,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
